y,x
41.0,47.0
41.0,52.0
61.0,97.0
7.0,1.0
1.0,2.0
1.0,5.0
1.0,2.0
1.0,1000.0
2.0,1000.0
3.0,400.0
4.0,40.0
5.0,0.7
6.0,0.3
7.0,0.03
80.574,-3.067
84.248,-2.981
87.264,-2.921
87.195,-2.912
89.076,-2.84
89.608,-2.797
89.868,-2.702
90.101,-2.699
92.405,-2.633
95.854,-2.481
100.696,-2.363
101.06,-2.322
401.672,-1.501
390.724,-1.46
567.534,-1.274
635.316,-1.212
733.054,-1.1
759.087,-1.046
894.206,-0.915
990.785,-0.714
1090.109,-0.566
1080.914,-0.545
1122.643,-0.4
1178.351,-0.309
1260.531,-0.109
1273.514,-0.103
1288.339,0.01
1327.543,0.119
1353.863,0.377
1414.509,0.79
1425.208,0.963
1421.384,1.006
1442.962,1.115
1464.35,1.572
1468.705,1.841
1447.894,2.047
1457.628,2.2
